key_word,stb_num,cdsn_iuc,pcb_num
S041185631,S0411856313,7038002745,308894018067
S040299317,S0402993170,7034626364,308556044266
S041969132,S0419691321,7035972733,309235029179
S040796138,S0407961382,7030801200,308747015743
S041382295,S0413822955,7042584177,308953008345
S041544360,S0415443609,7038659074,309035039227
S041582619,S0415826192,7043480368,309100023574
S040978874,S0409788742,7036499204,308781017981
S040586618,S0405866188,7034029225,308647048695
S041336170,S0413361702,7038356779,308936020504
S041712538,S0417125388,7043473397,309134002289
S040161714,S0401617140,7030309126,308513026586
S041524633,S0415246331,7038653469,309035016432
S041612390,S0416123900,7033846967,309097007896
S040571228,S0405712288,7034623567,308647028725
S040800203,S0408002036,7034359319,308747016680
S041092262,S0410922622,7033485804,308854050917
S040924126,S0409241263,7036731125,308782011295
S041487713,S0414877133,7033910222,309036035337
S041675072,S0416750726,7034136818,309135008027
S041338356,S0413383560,7037982494,308936024635
S040791454,S0407914546,7038724480,308747005232
S042016835,S0420168357,7042547112,309236015276
S042057278,S0420572786,7036326017,309283027000
S040593052,S0405930528,7030897625,308620036046
S040963514,S0409635148,7036507095,308782048033
S041269614,S0412696140,7034015404,308894040634
S041113495,S0411134954,7033559528,308853028374
S040690028,S0406900282,7033629975,308723013415
S041672925,S0416729255,7034076242,308966019551
S040712853,S0407128532,7034057721,308723030338
S041617036,S0416170363,7033939494,309035017499
S041639514,S0416395144,7036589214,309097024389
S041313114,S0413131146,7038032145,308937041788
S041458625,S0414586252,7036260581,308966043663
S041652540,S0416525404,7033812647,309097042657
S040960291,S0409602916,7036291193,308782048493
S041058133,S0410581337,7038515875,308854003824
S041107672,S0411076725,7033492057,308853014174
S041000037,S0410000377,7033562489,308852017819
S040922236,S0409222366,7036318023,308782005680
S040875177,S0408751772,7009238253,308747025678
S040257671,S0402576715,7035561060,308543022971
S041049658,S0410496585,7034255353,308853051780
S040515622,S0405156229,7030995452,308619027934
S041314026,S0413140269,7038029682,308937044755
S040889558,S0408895588,7037793389,308783032760
S040506916,S0405069164,7030595419,308619016846
S040956425,S0409564259,7036280678,308782044809
S041089380,S0410893800,7033487930,308854043390
S041602529,S0416025290,7043466268,309100044584
S040071487,S0400714878,7030458823,308472019774
S040913041,S0409130410,7035603322,308783048532
S040336380,S0403363804,7030411289,308556071427
S040675274,S0406752747,7034397828,308721038534
S040327517,S0403275174,7035829504,308556066202
S040091177,S0400911770,7030216485,308472033272
S040130005,S0401300058,7030136395,308513078703
S040555225,S0405552256,7034632809,308647024282
S040476747,S0404767470,7030835158,308620041645
S041836582,S0418365820,7035739295,309197037684
S040464843,S0404648438,7030871493,308620018181
S040589337,S0405893371,7034035081,308721003216
S040648635,S0406486354,7034170621,308721010149
S041241320,S0412413202,7037923485,308894013486
S040141717,S0401417176,7009248242,308513080839
S041788754,S0417887547,7034750416,309173014979
S040919699,S0409196993,7035656165,308781004059
S041329231,S0413292310,7038106112,308936011642
S041638385,S0416383855,7036720070,309097029241
S041143604,S0411436047,7038418190,308854000811
S041056357,S0410563576,7038366726,308854016519
S041028787,S0410287870,7043369986,308852046807
S041937500,S0419375004,7042519046,309234038945
S040261687,S0402616873,7030342377,308556089528
S040194478,S0401944788,7030161878,308513055329
S040043568,S0400435685,7030472936,308466001939
S040965921,S0409659217,7036293864,308852003992
S040736555,S0407365550,7035614908,308747001568
S040635448,S0406354482,7030415014,308646044702
S041497452,S0414974520,7034005780,309036044397
S040105349,S0401053492,7030260155,308513072540
S040383480,S0403834807,7033460965,308557029430
S040366442,S0403664421,7031016025,308557020921
S040704192,S0407041925,7034044592,308723024228
S040344108,S0403441082,7030327420,308556084306
S040305352,S0403053520,7034623226,308556043433
S041358058,S0413580587,7037961803,308936043314
S040672833,S0406728331,7034380834,308721040653
S041340716,S0413407168,7037983185,308936019117
S040003170,S0400031703,7030198926,308473012038
S041739977,S0417399771,7034216833,309134030504
S041788331,S0417883312,7037863277,309173038760
S041017933,S0410179334,7043366535,308852025458
S041381211,S0413812119,7042587913,308953014012
S040109753,S0401097538,7030536067,308513099609
S041251985,S0412519850,7034003368,308894026569
S040350553,S0403505536,7030334466,308556087744
S040938105,S0409381057,7036507548,308782023566
S040726151,S0407261518,7033956978,308723046738
S040940739,S0409407390,7036517460,308782029655
S040533614,S0405336146,7030608272,308619045227
S041360355,S0413603552,7037968056,308936042359
S041300654,S0413006546,7033797897,308937031217
S040453029,S0404530291,7030878378,308620019395
S041272314,S0412723147,7042602334,308937004045
S041227692,S0412276922,7037965524,308896040923
S040724357,S0407243579,7033952445,308723037577
S040613040,S0406130401,7030353843,308646030969
S041287123,S0412871235,7043311953,308937013374
S040177202,S0401772022,7030291315,308513037167
S041958542,S0419585424,7035904917,309235013254
S041027816,S0410278162,7043362563,308852046201
S040257509,S0402575093,7035561810,308543024163
S040711351,S0407113519,7034054958,308723016299
S041055343,S0410553430,7038502274,308854005293
S040482726,S0404827260,7030895515,308620044559
S040535599,S0405355990,7030593984,308619039465
S040649250,S0406492508,7034217648,308721010771
S041318551,S0413185513,7033822362,308937037964
S041532889,S0415328893,7033921573,309035032281
S040543662,S0405436620,7036598869,308647008633
S041827126,S0418271264,7035749062,309197020873
S040396875,S0403968757,7031051941,308557030320
S040111503,S0401115030,7030144693,308513065709
S041216025,S0412160258,7034553644,308896018360
S041181856,S0411818560,7034288251,308896005252
S041285543,S0412855434,7043345507,308937011090
S040982086,S0409820867,7036356213,308783023379
S040518087,S0405180871,7030996709,308619019823
S040809318,S0408093180,7037801528,308783003662
S041824225,S0418242256,7034758812,309197026696
S040661431,S0406614310,7036637232,308721020479
S041319813,S0413198135,7033787491,308937046115
S040888795,S0408887950,7036400778,308783026909
S040474464,S0404744640,7030980969,308620038557
S041203500,S0412035003,7037980541,308896027460
S041586134,S0415861346,7043445773,309100024894
S041463998,S0414639984,7033837258,309036005234
S040373779,S0403737798,7030605442,308557015160
S040605287,S0406052877,7030406761,308646013433
S040684933,S0406849333,7036186395,308723006947
S041641962,S0416419620,7036533445,309097031107
S041274039,S0412740394,7033827972,308937004006
S040267348,S0402673486,7030455243,308556001842
S040874843,S0408748437,7009246602,308747021319
S041329392,S0413293928,7037993660,308936006211
S041017985,S0410179857,7043367431,308852026005
S041580849,S0415808496,7043444603,309100003347
S041497006,S0414970060,7033863263,309036035754
S042012690,S0420126905,7042509715,309235048827
S041057552,S0410575523,7038380854,308854019629
S040914294,S0409142940,7037799459,308781007554
S040046405,S0400464057,7030473113,308466009257
S040948227,S0409482279,7036330314,308782032032
S041270400,S0412704002,7038011046,308937003983
S040989985,S0409899854,7037757343,308782000855
S040511988,S0405119889,7030618141,308619029484
S040699884,S0406998843,7033578113,308723015586
S040504716,S0405047160,7030834956,308619009794
S040939812,S0409398120,7036345262,308782030618
S041085209,S0410852098,7033635866,308854043652
S040874484,S0408744849,7037771823,308783001747
S040574823,S0405748231,7034632730,308647029965
S040021741,S0400217416,7030331358,308473033121
S041091273,S0410912732,7033616028,308854039931
S040246214,S0402462140,7030240131,308543015060
S041463891,S0414638910,7033984703,309036006141
S040804158,S0408041589,7034379662,308747008111
S041816539,S0418165391,7035520781,309197017914
S041819646,S0418196467,7035522702,309197025650
S041553058,S0415530587,7036633711,309035049527
S041306102,S0413061024,7033819927,308937033438
S041462853,S0414628532,7038308216,309036002112
S040619044,S0406190447,7030356743,308646037382
S040062787,S0400627878,7030227275,308472021023
S040612717,S0406127176,7030312917,308646031107
S040815308,S0408153085,7037833670,308783012734
S040104361,S0401043616,7030283476,308513058245
S041527042,S0415270429,7038284102,309035026557
S041623418,S0416234183,7036706650,309097014949
S041334043,S0413340438,7038060570,308936013796
S040736532,S0407365321,7038694899,308747000385
S040708468,S0407084683,7034055646,308723017734
S041504264,S0415042647,7036726284,309036045887
S041513509,S0415135092,7038336943,309035000639
S041229940,S0412299400,7037947407,308936002349
S042024565,S0420245653,7037953342,309236022984
S040890680,S0408906806,7036217812,308783030351
S041182443,S0411824438,7038068022,308896005949
S041684769,S0416847690,7035719673,309135026851
S041350509,S0413505097,7038005100,308936037105
S041558483,S0415584830,7033831395,309036004743
S040660312,S0406603121,7033962256,308721026723
S040306719,S0403067199,7034623750,308556041596
S041841104,S0418411040,7035743221,309197035421
S041188169,S0411881695,7037995957,308896009917
S041319812,S0413198127,7033787401,308937046088
S042406685,S0424066850,7038551985,309435022743
S041559415,S0415594151,7036570752,309036000923
S041143013,S0411430138,7038085197,308853053274
S040648981,S0406489817,7034217887,308721011159
S040603049,S0406030490,7030543876,308646017701
S041231956,S0412319567,7037909961,308894008598
S041368858,S0413688582,7037960510,308936038244
S040318046,S0403180467,7035848856,308556055168
S041571888,S0415718888,7043451330,309100013050
S041289965,S0412899652,7037990057,308937020902
S041353901,S0413539013,7037970166,308936023596
S041608543,S0416085439,7043477238,309100049419
S041334054,S0413340543,7038057957,308936017019
S041347121,S0413471214,7038074940,308936029421
S041079014,S0410790149,7037869015,308854032491
S041526496,S0415264968,7033915759,309035016543
S041400947,S0414009476,7042577310,308953036550
S040710567,S0407105672,7033935964,308723026046
S040960128,S0409601286,7036346939,308782049411
S041387572,S0413875722,7042578809,308953018037
S040107954,S0401079548,7030139779,308513070257
S041135039,S0411350398,7034488852,308853038116
S041788780,S0417887806,7034750777,309173018423
S040692707,S0406927075,7036191123,308723009829
S041788170,S0417881700,7034738112,309173034249
S040675763,S0406757633,7033961262,308721041513
S041256453,S0412564537,7034008977,308894026816
S041330116,S0413301165,7037969290,308936004262
S041272351,S0412723511,7042595355,308937000891
S041108020,S0411080200,7034318014,308853008897
S041444179,S0414441793,7034049004,308966041438
S041756135,S0417561358,7034127713,309134047789
S040030669,S0400306699,7030343622,308473026316
S041617664,S0416176647,7036631458,309097009160
S040949983,S0409499830,7036296942,308782040870
S041723203,S0417232036,7043443422,309134014514
S040809114,S0408091144,7038706663,308747024895
S040168999,S0401689990,7030178944,308513026869
S042049642,S0420496427,7035775506,309234046024
S040895732,S0408957320,7037791449,308783031224
S041765503,S0417655034,7034141589,309135025492
S041500829,S0415008295,7033935119,309036042533
S041525614,S0415256140,7033915859,309035016377
S041285562,S0412855620,7038091678,308937024169
S040608487,S0406084876,7030395735,308646027531
S041831644,S0418316446,7034696162,309197028562
S040382078,S0403820784,7030618437,308557016890
S040795431,S0407954319,7034386256,308747019519
S042180010,S0421800103,7038125527,309379005650
S041133370,S0411333701,7034316787,308853048394
S041376751,S0413767512,7042538701,308953006835
S041806080,S0418060808,7035488919,309197007161
S041107600,S0411076008,7031038190,308853014467
S041679704,S0416797048,7033498907,309135008564
S041519381,S0415193815,7038654061,309035010362
S040295599,S0402955996,7030430059,308556033510
S041062231,S0410622319,7038501509,308854005076
S040932198,S0409321984,7036707261,308781024827
S041436298,S0414362982,7033615258,308966031224
S041124987,S0411249875,7033557503,308853037662
S041187204,S0411872041,7038076383,308896003803
S040738085,S0407380851,7034402426,308747011644
S041472041,S0414720412,7038350988,309035029526
S041726110,S0417261109,7034180586,309134015108
S040526937,S0405269376,7030804646,308619037450
S041627246,S0416272468,7033844225,309097021078
S041735184,S0417351841,7034095866,309134027306
S040199095,S0401990950,7030267988,308513056375
S040966692,S0409666922,7036630091,308852004522
S041538068,S0415380682,7038293294,309035027464
S040669852,S0406698521,7033917509,308721035742
S041844060,S0418440600,7036487979,309197046035
S041301856,S0413018560,7033784409,308937032561
S040806945,S0408069459,7037811256,308747023547
S041129601,S0411296016,7034316766,308853048603
S041957021,S0419570214,7035873987,309235013701
S041513233,S0415132336,7033950963,309035000492
S041600040,S0416000409,7043450072,309100043896
S040369046,S0403690465,7031019114,308557000283
S040260842,S0402608420,7030339484,308556091966
S040273881,S0402738812,7030560871,308556012045
S040143447,S0401434470,7030493427,308543014593
S041045095,S0410450950,7043380635,308853006971
S041401233,S0414012337,7042544622,308953033133
S041365888,S0413658888,7043351918,308936047626
S040492727,S0404927272,7030844566,308619001253
S040708057,S0407080572,7034054601,308723016518
S041085944,S0410859440,7033624975,308854045229
S041116414,S0411164144,7033536502,308853033787
S040032701,S0400327017,7030344240,308473028580
S041099375,S0410993759,7034305789,308853010130
S040985088,S0409850880,7036426994,308781019501
S040628164,S0406281647,7030416530,308646043417
S040488906,S0404889060,7030317370,308646002757
S040609898,S0406098982,7030569251,308646025116
S040807311,S0408073111,7033619598,308747023613
S042267286,S0422672869,7038400277,309380025667
S041762788,S0417627880,7034694872,309173004997
S042024392,S0420243928,7042548364,309236009627
S041383007,S0413830079,7033989500,308953016480
S041893149,S0418931493,7036201118,309198044478
S041741752,S0417417524,7034096569,309134027911
S041398279,S0413982790,7043340077,308953032449
S040006878,S0400068780,7030197631,308473006573
S040526602,S0405266024,7030589660,308619037566
S041794497,S0417944974,7035573641,309173037741
S040040057,S0400400571,7009262984,308472005099
S040923645,S0409236456,7036730724,308782011697
S040561749,S0405617498,7036591015,308647025571
S040255004,S0402550040,7030562683,308543027363
S041553927,S0415539274,7036632891,309035049006
S041043626,S0410436264,7034318771,308853009640
S041184424,S0411844242,7037906659,308896004047
S041583623,S0415836236,7043444992,309100029680
S040937661,S0409376614,7036270715,308782026557
S040646664,S0406466647,7034192158,308721008321
S041286531,S0412865316,7033821704,308937020865
S041883610,S0418836105,7035578820,309198030329
S041717234,S0417172343,7034078980,309134007059
S041274120,S0412741200,7043350765,308937001221
S040694890,S0406948900,7033628495,308723020605
S041022394,S0410223945,7034545739,308852030564
S040545347,S0405453479,7035855010,308647007176
S041754065,S0417540652,7035729973,309135007252
S041320522,S0413205220,7038111025,308853023515
S040463301,S0404633015,7030837827,308620027391
S041272754,S0412727541,7036504223,308937001069
S041139373,S0411393739,7033518820,308853055166
S041870631,S0418706317,7036233227,309198029506
S040399336,S0403993360,7031053256,308557030988
S040507399,S0405073994,7031067472,308619019056
S040893457,S0408934575,7036203585,308783034913
S040356933,S0403569330,7034489418,308556094885
S041187067,S0411870677,7038112246,308896008410
S041121369,S0411213692,7034719691,308853032549
S041110298,S0411102980,7031038752,308853013837
S040351496,S0403514969,7030393453,308556088371
S040735511,S0407355113,7038694811,308747000610
S040711323,S0407113233,7034054910,308723016302
S040050640,S0400506400,7030272353,308472017921
S040876112,S0408761123,7036430520,308783018211
S041597331,S0415973314,7035933351,309100045156
S040380956,S0403809560,7031083607,308557016020
S040477812,S0404778129,7030874780,308620034331
S040564081,S0405640813,7036555033,308647014777
S041233061,S0412330617,7033469969,308894007075
S041264724,S0412647246,7037964625,308894033802
S040006819,S0400068194,7030197615,308473006574
S040923261,S0409232612,7036332814,308782005641
S040580403,S0405804034,7037826900,308647023063
S041544775,S0415447752,7038670301,309035041978
S041199378,S0411993787,7034559465,308896018914
S041865802,S0418658029,7036187357,309198015025
S040967498,S0409674984,7037812198,308852007230
S040608794,S0406087948,7030356117,308646028628
S041288622,S0412886224,7038009714,308937020258
S040914371,S0409143717,7037782041,308781004494
S041319362,S0413193621,7038041508,308937048786
S041801632,S0418016329,7035578314,309197005686
S040330201,S0403302015,7030558818,308556061250
S040345553,S0403455539,7034441793,308556081337
S041056619,S0410566192,7031036250,308854018689
S042449812,S0424498122,7038582129,309467019769
S040737181,S0407371810,7035648029,308747002356
S041384006,S0413840066,7042576683,308953007262
S041894887,S0418948876,7035983293,309198048327
S042190691,S0421906912,7038460191,309379017627
S041627046,S0416270465,7036458043,309097020006
S042048582,S0420485824,7037929722,309236008232
S041236415,S0412364155,7037903939,308894011087
S041628324,S0416283249,7036457534,309097020321
S040379061,S0403790613,7030209417,308473015510
S040307568,S0403075680,7030297364,308556050182
S040664389,S0406643891,7033953758,308721026230
S042342081,S0423420812,7037867798,309436007669
S040130934,S0401309349,7030144043,308513086240
S040080636,S0400806365,7030181802,308472034795
S041746770,S0417467700,7033485751,309134043065
S041005341,S0410053411,7043379422,308852018358
S040544275,S0405442752,7036598959,308647008749
S040706437,S0407064372,7034043964,308723024567
S041283575,S0412835751,7043289439,308937018866
S041064407,S0410644070,7038110406,308854022444
S041380791,S0413807913,7042535887,308953010566
S040124210,S0401242104,7030497749,308543001660
S040933650,S0409336507,7036261871,308782025452
S041080018,S0410800187,7037867744,308854036572
S040643715,S0406437159,7034026197,308721009705
S041340537,S0413405378,7037983006,308936024809
S041832468,S0418324686,7034733434,309197033860
S040316176,S0403161764,7030236122,308556036204
S041384236,S0413842360,7042587971,308953014116
S040945371,S0409453716,7036298403,308782035205
S040994208,S0409942083,7036362703,308782009622
S040691081,S0406910814,7033618842,308723010336
S041060155,S0410601559,7038352994,308854024441
S041128036,S0411280365,7034314641,308853049250
S041222900,S0412229002,7033640202,308896046668
S040717014,S0407170148,7033967999,308723036282
S040339786,S0403397865,7034439358,308556078970
S041124644,S0411246442,7034702285,308853044573
S040999073,S0409990738,7043350715,308852014078
S041301618,S0413016185,7033775862,308937038125
S040576096,S0405760967,7034628687,308647040328
S041074802,S0410748029,7037857580,308854035020
S040947152,S0409471528,7036332533,308782033137
S041739175,S0417391754,7033468270,309134031258
S040893435,S0408934354,7036369512,308783037943
S040338632,S0403386324,7030394699,308556076516
S040292922,S0402929227,7030536041,308556024734
S040974732,S0409747329,7036362562,308781010854
S041028319,S0410283190,7043365917,308852047267
S040655617,S0406556174,7034214702,308721021507
S040483903,S0404839039,7030907717,308620046474
S040493005,S0404930052,7030604950,308557014810
S040638778,S0406387780,7036552187,308647005141
S041271890,S0412718909,7033795161,308937001967
S041112901,S0411129012,7034495705,308853029056
S041033727,S0410337274,7034511488,308852043930
S041188418,S0411884180,7038114466,308896011396
S040133440,S0401334408,7030222538,308513075618
S040699242,S0406992420,7033626751,308723020046
S041729026,S0417290265,7034201836,309134019628
S041518769,S0415187696,7033876021,309035007240
S040386235,S0403862355,7033455792,308557038935
S040641738,S0406417387,7034071079,308721004333
S041383988,S0413839882,7042576551,308953007167
S041048860,S0410488604,7038351197,308854002288
S040924064,S0409240640,7036730610,308782002351
S040463907,S0404639072,7030837126,308620028747
S040697114,S0406971147,7033602298,308723023757
S040944662,S0409446620,7036294727,308782037069
S041316706,S0413167060,7033782884,308937029821
S041317258,S0413172586,7038029428,308937044745
S041064548,S0410645483,7038110641,308854022434
S040279856,S0402798564,7030265822,308556010067
S040703115,S0407031156,7033580992,308723015320
S041627744,S0416277443,7033846432,309097027399
S040183332,S0401833323,7030141861,308513040231
S041387459,S0413874599,7042578876,308953017243
S040958083,S0409580831,7036245510,308782043517
S041278444,S0412784448,7043313947,308937010022
S041856327,S0418563273,7035814771,309198007655
S040693936,S0406939367,7035605216,308723012148
S041753936,S0417539360,7034126354,309134046088
S041343297,S0413432979,7037948561,308936027935
S041302640,S0413026407,7033770475,308937030495
S041917684,S0419176842,7035933837,309234020317
S041516757,S0415167571,7038657393,309035009648
S041340850,S0413408504,7037970078,308936023509
S040642008,S0406420086,7034218534,308721006640
S040387310,S0403873101,7030802674,308557039066
S041099009,S0410990091,7034271970,308853012477
S041408311,S0414083110,7042538010,308953019777
S041375921,S0413759218,7042602123,308953005785
S040983433,S0409834337,7036424396,308781019207
S041073788,S0410737884,7037862235,308854033590
S040277544,S0402775440,7030577562,308556004796
S041528640,S0415286406,7038301683,309035028841
S040920412,S0409204120,7036373354,308782009163
S041684821,S0416848211,7035719638,309135026233
S040314332,S0403143324,7035834382,308556051420
S040047765,S0400477655,7030275863,308466006135
S041378768,S0413787688,7042583137,308953013046
S040471956,S0404719564,7030843397,308620025883
S041398063,S0413980631,7043339913,308953030452
S041339353,S0413393531,7037993185,308936007134
S040937425,S0409374255,7036503074,308782027980
S041206966,S0412069668,7038510053,308896029991
S041720222,S0417202226,7034109321,309134012441
S041356396,S0413563968,7038093670,308936039373
S041217062,S0412170628,7033642331,308896042417
S041631549,S0416315493,7036495357,309097025438
S041134505,S0411345050,7034487458,308853038409
S041793943,S0417939431,7035596727,309173032674
S041858421,S0418584211,7036179132,309198003946
S041000328,S0410003287,7033561685,308852017467
S041390423,S0413904234,7042534712,308953023053
S041209775,S0412097750,7038103023,308896024624
S041530791,S0415307918,7038361093,309035029573
S041066550,S0410665506,7038517315,308854014922
S040592315,S0405923157,7030575831,308646010932
S040924747,S0409247474,7036334891,308782010178
S040999546,S0409995462,7030595004,308620050752
S040655713,S0406557138,7034171373,308721021665
S040986785,S0409867855,7036710100,308781020829
S041306212,S0413062128,7043287687,308937018200
S040939232,S0409392326,7036303366,308782026012
S040983308,S0409833080,7036711706,308781021614
S041133246,S0411332462,7033556892,308853037453
S040929907,S0409299075,7036312684,308782018862
S041144887,S0411448878,7038244994,308854007857
S040645958,S0406459586,7034191916,308721008829
S041566462,S0415664621,7043465574,309100010354
S041359982,S0413599822,7037976006,308936042779
S041358422,S0413584221,7038025294,308936046759
S040294174,S0402941740,7030532400,308556028190
S041492115,S0414921159,7033905345,309036036441
S041930474,S0419304743,7042507636,309234018884
S040933668,S0409336680,7036313571,308782015521
S040734979,S0407349792,7038701250,308747003275
S041311294,S0413112940,7033811654,308937039855
S041935206,S0419352063,7035917221,309234026394
S041441570,S0414415709,7033805090,308966032556
S040303071,S0403030716,7034624667,308556048854
S040576157,S0405761572,7034605709,308647043669
S041684510,S0416845107,7034138699,309135024603
S040476370,S0404763709,7030981310,308620039732
S040374117,S0403741175,7030604318,308557017941
S040978676,S0409786766,7036509221,308781022887
S041119657,S0411196577,7034462235,308853036780
S041420344,S0414203442,7033646435,308966007388
S041758945,S0417589457,7034098566,309134042583
S040723714,S0407237145,7034196410,308723034934
S041212103,S0412121031,7034539441,308896036619
S040597112,S0405971127,7030543488,308646017469
S041395506,S0413955068,7043343961,308953028847
S040007259,S0400072590,7030203069,308473008907
S041938193,S0419381934,7043410458,309234018462
S040502908,S0405029081,7031090651,308619005863
S041820495,S0418204958,7035584561,309197027082
S041591232,S0415912323,7035929342,309100038282
S041559424,S0415594240,7036570921,309036000898
S041588967,S0415889674,7043470412,309100033608
S041402011,S0414020119,7042528061,308953035070
S040464868,S0404648683,7030842668,308620023029
S041823948,S0418239484,7035586301,309197018136
S040157496,S0401574964,7030286943,308513018204
S041471495,S0414714951,7033894622,309036014753
S041768115,S0417681159,7034593353,309173007926
S041027749,S0410277492,7043360347,308852035669
S040818883,S0408188830,7043436767,308783014723
S040996592,S0409965920,7043369472,308852012171
S040633101,S0406331016,7030409873,308646048499
S042381234,S0423812346,7038475484,309434002568
S041711226,S0417112260,7034090822,309134000780
S042345910,S0423459107,7037720333,309436013261
S041134212,S0411342123,7033549300,308853045808
S041807407,S0418074078,7035575110,309197014711
S040645242,S0406452425,7034070991,308721009409
S040601621,S0406016218,7030375555,308646007321
S042316114,S0423161140,7038020913,309434035354
S041968872,S0419688720,7035973871,309235027335
S041027299,S0410272997,7043363619,308852035276
S042580022,S0425800221,7036135480,309552011211
S041534746,S0415347464,7038285290,309035023020
S041221412,S0412214129,7034250617,308896048432
S040574974,S0405749742,7034632886,308647029955
S040305451,S0403054518,7034624349,308556041862
S040704165,S0407041658,7035625414,308723022580
S041698658,S0416986584,7034138994,309135026395
S041217417,S0412174178,7037939104,308896039679
S041699378,S0416993785,7034140995,309135026385
S041075124,S0410751240,7034007433,308854034450
S040538947,S0405389479,7030826167,308619034943
S041184698,S0411846989,7038074785,308896008682
S041312584,S0413125847,7033824073,308937039362
S041752423,S0417524231,7034133212,309135006394
S041048330,S0410483300,7038516873,308854010846
S041393182,S0413931827,7034147962,308953027203
S041197139,S0411971392,7038511461,308896023926
S040590691,S0405906910,7030316647,308646004579
S041535313,S0415353138,7038291611,309035024634
S040954347,S0409543472,7036364870,308782041560
S041060405,S0410604051,7038359137,308854020887
S040503838,S0405038382,7030582266,308619011779
S040879435,S0408794358,7043431943,308783002302
S041445893,S0414458939,7034007001,308966037472
S041720353,S0417203532,7043441724,309134009022
S041512908,S0415129084,7033873784,309035001220
S041144488,S0411444880,7038415959,308854007230
S040501519,S0405015196,7030583227,308619004006
S040311157,S0403111570,7035537631,308556048495
S041230521,S0412305213,7033483501,308894002474
S041348395,S0413483956,7037957889,308936032528
S042246031,S0422460314,7038372555,309380007477
S041807467,S0418074671,7035575327,309197014666
S041525714,S0415257147,7038656926,309035010281
S040932513,S0409325130,7036383669,308782018679
S040584259,S0405842599,7037830161,308647047452
S041366364,S0413663644,7038118824,308936047181
S041605289,S0416052891,7043473382,309100023690
S042626155,S0426261553,7031085354,309552050612
S042066505,S0420665059,7035556265,309283026381
S041624931,S0416249318,7036442477,309097016366
S041888577,S0418885777,7036200980,309198044682
